>NC_058066.1
start	end
323	337
23303	23311
25314	25332
25437	25454
26103	26118
29331	29347
30679	30692
30782	30799
31562	31572
41649	41661
41882	41897
41902	41914
46089	46100
46684	46698
46875	46890
47153	47171
49859	49874
50342	50358
52054	52067
52517	52534
69173	69189
79335	79345
100410	100429
102661	102666
131298	131312
131330	131345
172189	172204
172234	172249
176224	176238
189914	189929
191419	191429
208808	208815
211197	211214
212371	212385
217712	217726
221863	221875
224724	224742
229091	229105
230287	230301
241724	241738
250898	250914
253019	253035
255516	255529
258007	258022
262122	262127
268735	268752
273726	273738
279484	279489
293465	293478
299651	299668
301085	301097
315671	315679
318937	318955
321913	321927
325860	325866
326499	326510
329373	329387
339557	339579
343796	343812
344097	344117
345700	345711
346059	346066
346222	346238
351243	351256
355347	355359
375699	375718
377381	377395
381242	381256
386594	386610
386709	386727
386841	386859
390215	390232
390381	390399
390541	390578
398299	398315
419998	420012
465489	465505
466404	466421
467596	467611
468789	468807
468844	468857
469036	469052
473892	473908
488567	488582
498087	498104
502256	502271
515866	515881
516366	516383
516676	516694
517622	517646
529582	529597
574555	574567
578128	578133
581820	581830
608228	608239
608617	608634
608926	608942
610427	610439
611249	611259
630803	630817
632267	632290
641351	641358
641360	641367
661573	661579
664594	664609
668923	668929
669403	669413
693616	693632
698882	698891
705810	705827
749963	749979
752705	752725
753825	753842
772286	772304
785231	785247
788244	788265
790061	790067
790069	790075
791616	791623
793438	793443
796214	796229
801114	801135
804384	804402
864736	864751
866985	866997
871413	871428
876691	876710
915770	915783
931070	931084
931336	931351
932874	932879
933710	933725
934011	934027
957074	957088
957377	957383
968335	968355
993560	993573
996361	996375
997244	997250
997253	997258
998516	998528
1024315	1024328
1024478	1024494
1027226	1027231
1032175	1032193
1032617	1032632
1032930	1032946
1071363	1071375
1072995	1073010
1073365	1073370
1075760	1075776
1076343	1076357
1081718	1081732
1095492	1095504
1101873	1101888
1106502	1106514
1118095	1118112
1143249	1143270
1150531	1150544
1152679	1152696
1153351	1153367
1156034	1156044
1156305	1156320
1173928	1173948
1175485	1175490
1176166	1176183
1185624	1185641
1187467	1187479
1188053	1188072
1195049	1195067
1195466	1195485
1201268	1201283
1221240	1221256
1221329	1221347
1221381	1221395
1224405	1224410
1225399	1225412
1231139	1231149
1250977	1250982
1252898	1252908
1253432	1253444
1271986	1272001
1279378	1279388
1279759	1279770
1289992	1290011
1290173	1290190
1310477	1310496
1317991	1318006
1318156	1318168
1333925	1333937
1339091	1339103
1356412	1356428
1363189	1363209
1364108	1364126
1370632	1370644
1371549	1371564
1373606	1373622
1378751	1378786
1445804	1445819
1445845	1445859
1445918	1445929
1447112	1447124
1455077	1455093
1460082	1460098
1460875	1460896
1461181	1461197
1489422	1489440
1489888	1489902
1497029	1497044
1498623	1498641
1498922	1498937
1501730	1501743
1515849	1515865
1523903	1523914
1548357	1548372
1552775	1552792
1564401	1564420
1564812	1564821
1564949	1564967
1590397	1590413
1599423	1599444
1602093	1602108
1602920	1602925
1607290	1607307
1608172	1608186
1620290	1620304
1634909	1634925
1648854	1648869
1651014	1651029
1651107	1651122
1652050	1652075
1652300	1652309
1652311	1652316
1697312	1697319
1698239	1698254
1708346	1708362
1709575	1709593
1739472	1739482
1773488	1773500
1778854	1778859
1778861	1778867
1781742	1781757
1794778	1794799
1797902	1797920
1800638	1800653
1809120	1809137
1812909	1812922
1837099	1837112
1844603	1844617
1859958	1859976
1860152	1860165
1861034	1861041
1867838	1867854
1869525	1869541
1871649	1871665
1878922	1878939
1893943	1893959
1894059	1894071
1895351	1895368
1895729	1895744
1900863	1900868
1915467	1915483
1917002	1917015
1924965	1924975
1929384	1929399
1933804	1933819
1944276	1944281
1958263	1958278
1958738	1958753
1958779	1958791
1980227	1980241
2007176	2007189
2009877	2009892
2010534	2010549
2011803	2011820
2011893	2011910
2014285	2014297
2018660	2018680
2037942	2037953
2048613	2048627
2048870	2048891
2054006	2054018
2056498	2056513
2057834	2057848
2061770	2061784
2076869	2076888
